,A,B,C,D,E,F
0,-2.0,2.583656792805331,-0.31396027185611514,-0.7913654664321068,0.417536458864773,-0.9410627677739496
1,-2.0,1.5424797893009778,-0.4847912832252352,-0.12827642712555765,-2.2955175838066486,2.0036561180728936
2,-2.0,4.284118625397129,-2.402896170120148,-3.8164866716341406,0.9869572518059663,-3.802583131324118
3,-2.0,3.601557754206206,0.321579741038013,0.062337223044430345,-1.6751111960460578,2.1448356576839998
4,-2.0,8.4904303978306,0.9081978981717719,-1.2209690431174698,-2.146764612922522,3.0509796034537424
5,-2.0,9.112875674249585,0.32214380996443076,-0.36807989766554394,-1.7671896319136313,1.7633005962843293
6,-2.0,5.0125922153773725,0.11544491078644305,-3.4843230307378152,-0.3723183458163415,0.6195713867699512
7,-2.0,4.744308627696794,0.167001561878768,0.1223739581027905,-0.7909784610549869,0.8990861084632966
8,-2.0,4.286187162645547,1.7493162597433374,1.0889406082437452,-1.882472514581269,3.935457750833642
9,-2.0,0.6149288075166995,-0.9447694942594037,-2.4508696118021716,-2.310769204781814,1.227071667336241
10,-2.0,4.402351090576855,0.10311885724316298,2.496106382311443,-2.1716304060873433,2.032754729817615
11,-2.0,1.110801933025813,-1.564179451067621,-1.6540311211570549,-0.8556457670065288,-0.9013511970296442
12,-2.0,0.1686559696677478,-1.6189650464525436,-1.3137863148888789,-1.146846266966095,-0.23439024319903523
13,-2.0,2.891012971737181,-0.3215047634206939,0.5558094492172878,-1.472134367982112,1.4628862707655808
14,-2.0,0.8554672129147668,0.2898397592350339,-3.4469125860962357,1.6135052657936102,-1.5781104854612469
15,-2.0,0.5297393870512134,1.3105475094244534,0.6525928746244506,-0.6410814841323029,2.1086912934605926
16,-2.0,19.385687151429153,0.3939392970619729,-0.36133472247568665,-1.7453728994185433,2.4472792434689397
17,-2.0,0.9493623303696584,2.0697395580960998,-1.4380733563393933,2.224918160706611,-0.1655772814284378
18,-2.0,8.876185677504218,-0.6776028268842069,2.0831448488393662,-2.0682496231711416,1.4885511945510421
19,-2.0,0.42678415251116975,0.038706281001441016,-5.928648517728484,0.5993104170640012,-0.4285240490757584
20,-2.0,4.671382407719424,-1.6688288136621536,-1.378574978311539,-1.015736964961472,-0.28818309379444407
21,-2.0,1.6235366978962522,-1.4869095431887989,-4.799104631543896,-1.4386578494984636,-0.2019300112699523
22,-2.0,0.42742143871472243,-1.1630549668832708,1.5858308442934337,-1.733923340962694,0.11095529672671
23,-2.0,0.00023185037576936666,0.5322131579116254,-4.723998917771428,-0.5117746507373592,0.909155996450134
24,-2.0,2.1652642417594885,1.603685104066782,0.7191728497484896,-0.9844940784585633,2.6053150051537406
25,-2.0,3.589371860506129,2.740748726173529,1.8230342478612458,-0.9121165294814615,3.8136638212571334
26,-2.0,2.0316898819398146,-0.09000697382921197,-2.961441611434397,-1.6975166165732358,1.5819541596074806
27,-2.0,9.720009687389707,0.09000926292994417,-0.4477247802993811,-1.6993432378227218,1.8095964747882975
28,-2.0,6.822224055867648,-0.005981604023669314,2.0747556104608185,-2.6402446630112295,3.007406181121942
29,-2.0,5.347813444623555,-0.11587663551210978,0.7775411596611039,-1.3051138509593487,1.6365125482866643
30,-2.0,2.857877758263542,-0.05759374223743442,-0.12070924425675145,-2.5081921124164817,2.5459040714022247
31,-2.0,1.0422873371280017,-1.2557259515590267,-3.631806219463149,-1.360536547225705,0.05947497400763289
32,-2.0,9.63569060873184,0.11550888186715202,2.7126476030032856,-3.2647926710583626,3.40660068532207
33,-2.0,6.793432706057406,-0.5374482815558734,-0.47360269778476205,-1.9541950261540686,1.831795357250818
34,-2.0,0.1075694213931394,1.3430474071142795,1.2700542467066065,-2.039960119057097,3.1123379162595564
35,-2.0,4.974919712645645,-1.2290151105604268,-5.098681729405838,2.4081664438559205,-3.765120204037678
36,-2.0,2.0135479638716505,0.2562418019808615,0.1616722340891572,-1.986325631132543,1.7102879684870893
37,-2.0,0.39358737545925293,0.6058614957180171,-0.4485290438595306,1.264061022852561,-1.0220972005695566
38,-2.0,0.40289232881043063,0.0083524940207066,-2.857244190227426,-2.3979049491053885,2.282034511594604
39,-2.0,3.794829374535889,-0.4868479980228236,0.406687743926222,-1.3179963412282247,0.992878599541149
40,-2.0,1.342211611932274,-0.9560996577970092,0.640498084178347,-2.193003568225478,1.2249829019363145
41,-2.0,0.5894082443809544,1.2892200155465423,-1.1630975638200896,-1.3743512993215083,2.5002264346125394
42,-2.0,6.211988467401303,0.17610136484385694,-3.2275215986353807,-0.3196453849713935,0.5796070752758113
43,-2.0,5.029966666046412,1.6201757424168877,-4.217557217114774,-1.295455420112392,2.8287768669944655
44,-2.0,0.23853256038069487,7.132985290079528,1.7328035580674672,-1.924784365960933,9.06656962785311
45,-2.0,0.8866596081743554,-0.4111356287649875,-0.544418959319481,-1.401008328859926,1.0504559369092472
